e9458dc0-7118-11ed-b0ab-acde48001122,hrithik,raj,hrithik,1,hrithik,"(0, 0)"
e9458dc0-7118-11ed-b0ab-acde48001122,hrithik,raj,hrithik,3,hrithik,"(2, 2)"
e9458dc0-7118-11ed-b0ab-acde48001122,hrithik,raj,hrithik,5,hrithik,"(2, 0)"
e9458dc0-7118-11ed-b0ab-acde48001122,hrithik,raj,hrithik,7,hrithik,"(1, 0)"
becbf99a-7d0b-11ed-930b-acde48001122,hrithik,udiksha,hrithik,1,hrithik,"(0, 0)"
becbf99a-7d0b-11ed-930b-acde48001122,hrithik,udiksha,hrithik,2,udiksha,"(0, 1)"
becbf99a-7d0b-11ed-930b-acde48001122,hrithik,udiksha,hrithik,3,hrithik,"(1, 1)"
becbf99a-7d0b-11ed-930b-acde48001122,hrithik,udiksha,hrithik,4,udiksha,"(0, 2)"
becbf99a-7d0b-11ed-930b-acde48001122,hrithik,udiksha,hrithik,5,hrithik,"(1, 2)"
becbf99a-7d0b-11ed-930b-acde48001122,hrithik,udiksha,hrithik,6,udiksha,"(1, 0)"
becbf99a-7d0b-11ed-930b-acde48001122,hrithik,udiksha,hrithik,7,hrithik,"(2, 2)"
